Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TransSalePrice,InsideSF,OutsideSF,TotalSF,OverallQualCond,GarageCarArea,ExterQualCond,BsmtQualCond,BsmtQualCondPlus,FireplacesQu,GarageQualCond
212,20,RL,83.0,10420,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,36,1,0,1176,1212,GasA,5,Y,SBrkr,1212,0,0,1212,0,0,2,0,3,1,4,6,7,0,0,Attchd,2009.0,RFn,2,460,3,3,Y,100,22,0,0,0,0,0,0,No_MF,0,3,2010,WD,Normal,186000,12.133507329024972,2884,122,3006,30,920,9,12,144,0,9
213,60,FV,72.0,8640,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,822,1,0,78,900,GasA,5,Y,SBrkr,932,920,0,1852,1,0,2,1,3,1,4,7,7,1,3,Attchd,2009.0,RFn,2,644,3,3,Y,168,108,0,0,0,0,0,0,No_MF,0,7,2009,New,Partial,252678,12.439875187430008,3396,276,3672,35,1288,9,12,72,3,9
214,20,RL,43.0,13568,Pave,No_Alley,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,5,716,1,0,274,990,GasA,5,Y,SBrkr,990,0,0,990,0,1,1,0,3,1,3,5,7,0,0,Attchd,1996.0,Unf,2,576,3,3,Y,224,0,0,0,0,0,0,0,No_MF,0,7,2006,WD,Normal,156000,11.957617696467539,2556,224,2780,25,1152,9,12,60,0,9
215,60,RL,72.11800560703566,10900,Pave,No_Alley,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,3,3,CBlock,4,3,1,6,378,1,0,311,689,GasA,5,Y,SBrkr,689,703,0,1392,0,0,1,1,3,1,3,6,7,0,0,Attchd,1977.0,Fin,1,299,3,3,Y,0,36,0,0,0,0,0,3,Shed,450,3,2010,WD,Normal,161750,11.993813394724253,2380,36,2416,42,299,9,12,72,0,9
216,20,RL,72.0,10011,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,3,3,CBlock,3,3,1,4,360,1,0,710,1070,GasA,3,Y,SBrkr,1236,0,0,1236,0,1,1,0,2,1,4,6,6,1,2,Attchd,1957.0,Unf,1,447,3,3,Y,0,0,0,0,0,0,0,3,No_MF,0,5,2006,WD,Normal,134450,11.808955099378537,2753,0,2753,30,447,9,9,36,2,9
217,20,RL,65.0,8450,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,4,3,PConc,4,3,2,6,946,1,0,490,1436,GasA,5,Y,SBrkr,1436,0,0,1436,1,0,2,0,3,1,4,8,7,0,0,Attchd,2004.0,Unf,2,484,3,3,Y,139,98,0,0,0,0,0,0,No_MF,0,4,2008,WD,Normal,210000,12.25486757159303,3356,237,3593,35,968,12,12,144,0,9
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,686,686,GasA,2,N,SBrkr,810,518,0,1328,0,0,1,0,3,1,3,8,7,0,0,Detchd,1940.0,Unf,1,210,3,3,Y,0,172,60,0,0,0,0,0,No_MF,0,9,2006,WD,Family,107000,11.580593459194764,2284,172,2456,16,210,9,9,9,0,9
219,50,RL,82.37047440703566,15660,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,4,4,CBlock,3,3,1,4,341,1,0,457,798,GasA,5,Y,SBrkr,1137,817,0,1954,0,1,1,1,3,1,4,8,7,2,3,Attchd,1939.0,Unf,2,431,3,3,Y,0,119,150,0,0,0,0,0,No_MF,0,5,2008,WD,Normal,311500,12.649157827477366,3333,119,3452,63,862,16,9,36,6,9
220,120,RL,43.0,3010,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,3,6,16,1,0,1232,1248,GasA,5,Y,SBrkr,1248,0,0,1248,0,0,2,0,2,1,4,5,7,0,0,Attchd,2005.0,Fin,2,438,3,3,Y,108,0,0,0,0,0,0,0,No_MF,0,3,2006,New,Partial,167240,12.027191164883384,2934,108,3042,35,876,12,12,216,0,9
221,20,RL,73.0,8990,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,1,0,1,0,1498,1498,GasA,5,Y,SBrkr,1498,0,0,1498,0,0,2,0,2,1,4,5,7,0,0,Attchd,2006.0,RFn,2,675,3,3,Y,351,33,0,0,0,0,0,0,No_MF,0,4,2006,New,Partial,204900,12.230282214644559,3671,384,4055,35,1350,12,12,24,0,9
222,60,RL,66.01821744703568,8068,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0,1,0,1010,1010,GasA,5,Y,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,4,8,7,1,3,BuiltIn,2002.0,RFn,2,390,3,3,Y,120,46,0,0,0,0,0,0,No_MF,0,12,2009,ConLI,Normal,200000,12.206077645517674,3667,166,3833,30,780,12,12,12,3,9
223,60,RL,85.0,11475,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,5,550,1,0,163,713,GasA,3,Y,SBrkr,811,741,0,1552,1,0,2,1,3,1,3,6,7,1,3,Attchd,1975.0,RFn,2,434,3,3,Y,209,208,0,0,0,0,0,3,No_MF,0,2,2006,WD,Normal,179900,12.100161978566867,2699,417,3116,36,868,9,12,60,3,9
224,20,RL,70.0,10500,Pave,No_Alley,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,524,2,180,160,864,GasA,4,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,7,0,0,Detchd,1989.0,Unf,2,576,3,3,Y,216,0,0,0,0,0,0,0,No_MF,0,3,2009,WD,Abnorml,97000,11.48247656671073,2304,216,2520,24,1152,9,9,90,0,9
225,20,RL,103.0,13472,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,5,3,PConc,5,3,4,6,56,1,0,2336,2392,GasA,5,Y,SBrkr,2392,0,0,2392,0,0,2,0,3,1,5,8,7,1,5,Attchd,2003.0,Fin,3,968,3,3,Y,248,105,0,0,0,0,0,0,No_MF,0,6,2009,WD,Normal,386250,12.864242696187505,5752,353,6105,50,2904,15,15,360,5,9
226,160,RM,21.0,1680,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,3,3,CBlock,3,3,1,1,0,1,0,630,630,GasA,3,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,3,6,7,0,0,Detchd,1991.0,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,5,2009,COD,Abnorml,112000,11.626263078808801,2212,0,2212,25,280,9,9,9,0,9
227,60,RL,82.0,9950,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,4,3,PConc,4,3,1,6,565,1,0,638,1203,GasA,5,Y,SBrkr,1214,1306,0,2520,0,0,2,1,4,1,4,9,7,1,3,Attchd,1995.0,RFn,3,721,3,3,Y,224,114,0,0,0,0,0,0,No_MF,0,6,2007,WD,Abnorml,290000,12.577639650232573,4444,338,4782,35,2163,12,12,72,3,9
228,160,RM,21.0,1869,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,3,3,CBlock,3,3,1,3,321,1,0,162,483,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,7,0,0,Detchd,1987.0,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,9,2008,WD,Normal,106000,11.571203807011969,1750,0,1750,36,280,9,9,27,0,9
229,20,RL,70.0,8521,Pave,No_Alley,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,842,1,0,70,912,GasA,3,Y,SBrkr,912,0,0,912,0,0,1,0,3,1,3,5,7,1,2,Detchd,1974.0,Unf,1,336,3,3,Y,0,0,0,0,0,0,0,3,No_MF,0,5,2010,WD,Normal,125000,11.736077016252437,2160,0,2160,25,336,9,9,45,2,9
230,120,RL,43.0,3182,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,3,6,16,1,0,1357,1373,GasA,5,Y,SBrkr,1555,0,0,1555,0,0,2,0,2,1,4,7,7,1,3,Attchd,2005.0,Fin,2,430,3,3,Y,143,20,0,0,0,0,0,0,No_MF,0,5,2009,WD,Normal,192500,12.167856627501678,3358,163,3521,35,860,12,12,216,3,9
231,20,RL,73.0,8760,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,3,3,CBlock,3,3,1,1,0,1,0,1194,1194,GasA,3,Y,SBrkr,1194,0,0,1194,1,0,1,0,3,1,3,6,7,0,0,Attchd,1959.0,RFn,1,312,3,3,Y,0,0,120,0,0,0,0,0,No_MF,0,4,2010,WD,Normal,148000,11.904974309480183,2820,0,2820,36,312,9,9,9,0,9
232,60,RL,174.0,15138,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,4,3,PConc,4,3,1,6,689,1,0,773,1462,GasA,5,Y,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,5,9,7,1,3,Attchd,1995.0,Fin,3,810,3,3,Y,0,146,202,0,0,0,0,0,No_MF,0,7,2009,WD,Normal,403000,12.90669432231532,5268,146,5414,40,2430,12,12,72,3,9
233,160,RM,21.0,1680,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,3,CBlock,3,3,1,1,0,1,0,483,483,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,7,1,1,Attchd,1972.0,Unf,1,288,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,6,2006,WD,Normal,94500,11.456365695436427,1758,0,1758,30,288,9,9,9,1,9
234,20,RL,75.0,10650,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,4,3,2,182,5,712,0,894,GasA,3,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,7,0,0,Attchd,1976.0,Unf,1,308,3,3,Y,365,0,0,0,0,0,0,3,No_MF,0,2,2010,WD,Normal,128200,11.761354623750297,2096,365,2461,30,308,9,12,360,0,9
235,60,RL,65.55082548703568,7851,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,No_MVT,0.0,4,3,PConc,4,3,1,6,625,1,0,235,860,GasA,5,Y,SBrkr,860,1100,0,1960,1,0,2,1,4,1,4,8,7,2,3,BuiltIn,2002.0,Fin,2,440,3,3,Y,288,48,0,0,0,0,0,0,No_MF,0,5,2010,WD,Normal,216500,12.285350445351659,3260,336,3596,30,880,12,12,72,6,9
236,160,RM,21.0,1680,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,3,3,CBlock,3,3,1,5,358,1,0,125,483,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,7,0,0,Detchd,1971.0,Unf,1,264,3,3,Y,0,0,0,0,0,0,0,0,No_MF,0,8,2008,WD,Normal,89500,11.402005077384885,1734,0,1734,18,264,9,9,45,0,9
237,20,RL,65.0,8773,Pave,No_Alley,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,4,3,PConc,4,3,3,6,24,1,0,1390,1414,GasA,5,Y,SBrkr,1414,0,0,1414,0,0,2,0,3,1,4,6,7,0,0,Attchd,2004.0,RFn,2,494,3,3,Y,132,105,0,0,0,0,0,0,No_MF,0,5,2010,WD,Normal,185500,12.130815551850676,3322,237,3559,35,988,12,12,216,0,9
238,60,RL,69.00134124703567,9453,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,1993,2003,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,1,4,402,1,0,594,996,GasA,5,Y,SBrkr,1014,730,0,1744,0,0,2,1,3,1,4,7,7,0,0,Attchd,1993.0,RFn,2,457,3,3,Y,370,70,0,238,0,0,0,0,No_MF,0,2,2010,WD,Normal,194500,12.178192583415596,3197,440,3637,49,914,12,12,48,0,9
239,20,RL,93.0,12030,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,5,3,PConc,5,3,1,1,0,1,0,1694,1694,GasA,5,Y,SBrkr,1694,0,0,1694,0,0,2,0,3,1,4,7,7,0,0,Attchd,2007.0,Fin,3,818,3,3,Y,168,228,0,0,0,0,0,0,No_MF,0,12,2007,New,Partial,318000,12.669809806411457,4206,396,4602,40,2454,15,15,15,0,9
240,50,RL,52.0,8741,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,2,1,2,94,1,0,641,735,GasA,3,Y,FuseA,798,689,0,1487,0,0,1,1,3,1,3,7,7,1,4,Detchd,1949.0,Unf,1,220,3,3,Y,0,140,0,0,0,0,0,3,No_MF,0,4,2010,WD,Normal,113000,11.635151947212842,2442,140,2582,24,220,9,6,12,4,9
241,20,FV,75.0,9000,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,4,3,PConc,4,3,3,6,1078,1,0,488,1566,GasA,5,Y,SBrkr,1566,0,0,1566,1,0,2,0,3,1,4,7,7,0,0,Attchd,2008.0,RFn,2,750,3,3,Y,144,168,0,0,0,0,0,0,No_MF,0,4,2010,WD,Normal,262500,12.47801017053037,3882,312,4194,40,1500,12,12,216,0,9
242,30,RM,40.0,3880,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,5,329,1,0,357,686,GasA,4,Y,SBrkr,866,0,0,866,0,0,1,0,2,1,4,4,7,0,0,No_GT,1945.0,No_GF,0,0,0,0,Y,58,42,0,0,0,0,0,0,No_MF,0,8,2007,WD,Normal,110500,11.612779849672751,1552,100,1652,45,0,12,9,45,0,0
243,50,RM,63.0,5000,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,540,540,GasA,4,N,FuseA,889,551,0,1440,0,0,1,0,3,1,3,6,7,0,0,Attchd,1940.0,Unf,1,352,2,3,Y,0,0,77,0,0,0,0,0,No_MF,0,4,2006,WD,Normal,79000,11.277215789596893,2409,0,2409,20,352,9,9,9,0,6
244,160,RL,75.0,10762,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,1,0,1,0,626,626,GasA,3,Y,SBrkr,626,591,0,1217,0,0,1,1,3,1,3,6,7,1,3,Attchd,1980.0,RFn,1,288,3,3,Y,0,28,0,0,0,0,0,0,No_MF,0,4,2009,WD,Normal,120000,11.695255355062795,2131,28,2159,36,288,9,12,12,3,9
245,60,RL,67.76716800703565,8880,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,695,1,0,253,948,GasA,5,Y,SBrkr,1222,888,0,2110,1,0,2,1,3,1,4,8,7,2,2,Attchd,1994.0,RFn,2,463,3,3,Y,0,130,0,0,0,0,0,0,No_MF,0,5,2010,WD,Normal,205000,12.230770136157428,3521,130,3651,35,926,12,12,72,4,9
246,20,RL,80.0,10400,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,3,3,CBlock,4,3,3,6,929,1,0,916,1845,GasA,4,Y,SBrkr,1872,0,0,1872,0,1,2,0,3,1,3,6,7,1,3,Attchd,1988.0,Fin,2,604,3,3,Y,197,39,0,0,0,0,0,0,No_MF,0,6,2006,WD,Normal,241500,12.394628892852941,4321,236,4557,35,1208,9,12,216,3,9
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,2,Stone,2,3,1,1,0,1,0,1020,1020,GasA,4,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,2,9,7,0,0,Detchd,1910.0,Unf,1,440,1,1,Y,0,60,112,0,0,0,0,0,No_MF,0,4,2006,WD,Normal,137000,11.827743504053695,3500,60,3560,48,440,6,6,6,0,1
248,20,RL,75.0,11310,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,1367,1367,GasA,5,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,7,1,3,Attchd,1954.0,Unf,2,451,3,3,Y,0,30,0,0,0,0,0,0,No_MF,0,6,2006,WD,Normal,140000,11.849404844423074,3193,30,3223,30,902,9,9,9,3,9
249,60,RL,72.0,11317,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,4,3,PConc,4,3,1,1,0,1,0,840,840,GasA,5,Y,SBrkr,840,828,0,1668,0,0,2,1,3,1,4,8,7,0,0,Attchd,2003.0,RFn,2,500,3,3,Y,144,68,0,0,0,0,0,0,No_MF,0,9,2007,WD,Normal,180000,12.100717685412471,3008,212,3220,35,1000,12,12,12,0,9
250,50,RL,200.0,159000,Pave,No_Alley,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,4,3,CBlock,4,3,4,3,697,1,0,747,1444,GasA,4,Y,SBrkr,1444,700,0,2144,0,1,2,0,4,1,4,7,7,2,3,Attchd,1958.0,Fin,2,389,3,3,Y,0,98,0,0,0,0,0,0,Shed,500,6,2007,WD,Normal,277000,12.531776395271262,3977,98,4075,42,778,12,12,144,6,9
251,30,RL,55.0,5350,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,1966,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,1,CBlock,3,3,1,1,0,1,0,728,728,GasA,5,Y,SBrkr,1306,0,0,1306,0,0,1,0,3,1,2,6,4,0,0,No_GT,1940.0,No_GF,0,0,0,0,Y,263,0,0,0,0,0,0,2,Shed,450,5,2010,WD,Normal,76500,11.245059091624615,2034,263,2297,6,0,3,9,9,0,0
252,120,RM,44.0,4750,Pave,No_Alley,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,4,3,PConc,4,3,4,6,1573,1,0,0,1573,GasA,5,Y,SBrkr,1625,0,0,1625,1,1,2,0,2,1,4,5,7,1,4,Attchd,2006.0,Fin,2,538,3,3,Y,123,0,0,0,153,0,0,0,No_MF,0,12,2007,WD,Family,235000,12.367345048436391,3736,123,3859,40,1076,12,12,288,4,9
253,60,RL,65.0,8366,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0,1,0,798,798,GasA,5,Y,SBrkr,798,842,0,1640,0,0,2,1,3,1,4,6,7,0,0,Attchd,2004.0,RFn,2,520,3,3,Y,138,45,0,0,0,0,0,0,No_MF,0,12,2008,WD,Normal,173000,12.06105265381003,2958,183,3141,30,1040,12,12,12,0,9
254,80,RL,85.0,9350,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,3,3,CBlock,4,3,4,2,270,5,580,452,1302,GasA,5,Y,SBrkr,1302,0,0,1302,0,1,2,0,3,1,4,7,6,0,0,Attchd,1964.0,RFn,1,309,3,3,Y,333,0,0,0,0,0,0,3,No_MF,0,10,2007,CWD,Normal,158000,11.970356641102999,2913,333,3246,42,309,9,12,480,0,9
255,20,RL,70.0,8400,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,3,922,1,0,392,1314,GasA,3,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,3,5,7,0,0,Attchd,1957.0,RFn,1,294,3,3,Y,250,0,0,0,0,0,0,0,No_MF,0,6,2010,WD,Normal,145000,11.884495917930655,2922,250,3172,30,294,12,9,27,0,9
256,60,RL,66.0,8738,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,4,3,PConc,4,3,1,1,0,1,0,975,975,GasA,5,Y,SBrkr,1005,1286,0,2291,0,0,2,1,4,1,4,8,7,1,3,BuiltIn,1999.0,Fin,2,429,3,3,Y,192,0,0,0,0,0,0,0,No_MF,0,2,2006,WD,Normal,230000,12.345838935721968,3695,192,3887,35,858,12,12,12,3,9
257,60,FV,64.0,8791,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,3,503,1,0,361,864,GasA,5,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,4,7,7,0,0,Attchd,2003.0,RFn,2,673,3,3,Y,216,56,0,0,0,0,0,0,No_MF,0,5,2008,WD,Normal,207500,12.242891437918386,3265,272,3537,30,1346,12,12,36,0,9
258,20,RL,68.0,8814,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,4,3,PConc,4,3,1,6,1334,1,0,270,1604,GasA,5,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,4,8,7,1,4,Attchd,2006.0,RFn,2,660,3,3,Y,123,110,0,0,0,0,0,0,No_MF,0,3,2009,WD,Abnorml,220000,12.301387370778713,3868,233,4101,35,1320,12,12,72,4,9
259,60,RL,80.0,12435,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,4,3,PConc,4,3,1,6,361,1,0,602,963,GasA,5,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,4,7,7,1,3,Attchd,2001.0,RFn,2,564,3,3,Y,0,96,0,245,0,0,0,0,No_MF,0,5,2008,WD,Normal,231500,12.352339472153524,3319,96,3415,35,1128,12,12,72,3,9
